Number,Repeat,latitude,longitude,WordCount,English,Common,Tagalog,Bikol,Cebuano,Hiligaynon,Ilocano,Kapampangan,Pangasinense,Waray,Zam,Spanish,3,4,5
204877,TRUE,10.1406832,123.6482371,8,3,1,0,0,3,0,0,0,0,0,0,0,Cebuano,,
205521,TRUE,10.1406832,123.6482371,8,3,1,0,0,3,0,0,0,0,0,0,0,Cebuano,,
147372,TRUE,10.1990651,123.7493023,19,0,8,0,0,3,0,1,0,0,0,0,1,Cebuano,,
204785,TRUE,10.1990651,123.7493023,19,0,8,0,0,3,0,1,0,0,0,0,1,Cebuano,,
205428,TRUE,10.1990651,123.7493023,19,0,8,0,0,3,0,1,0,0,0,0,1,Cebuano,,
145725,TRUE,10.2805816,122.8532437,9,2,4,0,0,0,3,0,0,0,0,0,0,Hiligaynon,,
145728,TRUE,10.2805816,122.8532437,9,2,4,0,0,0,3,0,0,0,0,0,0,Hiligaynon,,
145730,TRUE,10.2805816,122.8532437,9,2,4,0,0,0,3,0,0,0,0,0,0,Hiligaynon,,
203936,TRUE,10.2805816,122.8532437,9,2,4,0,0,0,3,0,0,0,0,0,0,Hiligaynon,,
204003,TRUE,10.2805816,122.8532437,9,2,4,0,0,0,3,0,0,0,0,0,0,Hiligaynon,,
204066,TRUE,10.2805816,122.8532437,9,2,4,0,0,0,3,0,0,0,0,0,0,Hiligaynon,,
145951,TRUE,10.33121144,123.90782953,12,2,4,1,0,0,0,0,0,0,3,0,0,Waray,,
146158,TRUE,10.33121144,123.90782953,12,2,4,1,0,0,0,0,0,0,3,0,0,Waray,,
146352,TRUE,10.33121144,123.90782953,12,2,4,1,0,0,0,0,0,0,3,0,0,Waray,,
202833,TRUE,10.34826425,123.9108421,18,11,2,0,0,0,0,1,0,0,3,0,0,Waray,,
203164,TRUE,10.34826425,123.9108421,18,11,2,0,0,0,0,1,0,0,3,0,0,Waray,,
143656,TRUE,10.3484637,123.9201518,15,0,6,1,1,0,0,0,0,0,3,0,0,Waray,,
144391,TRUE,10.3484637,123.9201518,15,0,6,1,1,0,0,0,0,0,3,0,0,Waray,,
143867,TRUE,10.3556706,123.9148762,10,2,3,0,0,3,1,0,0,0,0,0,0,Cebuano,,
144661,TRUE,10.3556706,123.9148762,10,2,3,0,0,3,1,0,0,0,0,0,0,Cebuano,,
143898,TRUE,10.3830501,123.9671229,21,6,4,0,0,1,0,0,0,0,4,0,0,Waray,Waray,
144698,TRUE,10.3830501,123.9671229,21,6,4,0,0,1,0,0,0,0,4,0,0,Waray,Waray,
145063,TRUE,10.3830501,123.9671229,21,6,4,0,0,1,0,0,0,0,4,0,0,Waray,Waray,
145251,FALSE,10.3852513,123.918059,11,4,2,0,0,3,0,0,0,0,0,0,0,Cebuano,,
143665,TRUE,10.3855254,123.9158615,12,4,2,0,0,1,0,0,0,0,3,0,0,Waray,,
144408,TRUE,10.3855254,123.9158615,12,4,2,0,0,1,0,0,0,0,3,0,0,Waray,,
144908,TRUE,10.3855254,123.9158615,12,4,2,0,0,1,0,0,0,0,3,0,0,Waray,,
26514,TRUE,10.3855353,123.9181348,20,4,10,0,0,3,0,0,0,0,0,0,0,Cebuano,,
86013,TRUE,10.3855353,123.9181348,20,4,10,0,0,3,0,0,0,0,0,0,0,Cebuano,,
145306,FALSE,10.393913,123.9190283,17,7,5,0,1,3,0,0,0,0,0,0,1,Cebuano,,
145590,FALSE,10.4326409,124.7262915,16,5,5,0,0,3,0,0,0,0,0,0,0,Cebuano,,
202851,TRUE,10.49123685,123.71553337,14,3,6,0,0,3,0,0,0,0,0,0,0,Cebuano,,
203187,TRUE,10.49123685,123.71553337,14,3,6,0,0,3,0,0,0,0,0,0,0,Cebuano,,
143763,TRUE,10.5212268,124.0099478,8,3,1,0,0,3,0,0,0,0,0,0,0,Cebuano,,
144525,TRUE,10.5212268,124.0099478,8,3,1,0,0,3,0,0,0,0,0,0,0,Cebuano,,
144966,TRUE,10.5212268,124.0099478,8,3,1,0,0,3,0,0,0,0,0,0,0,Cebuano,,
143053,TRUE,10.6022795,122.918393,13,2,5,3,0,1,0,0,0,0,1,0,1,Tagalog,,
202789,TRUE,10.6022795,122.918393,13,2,5,3,0,1,0,0,0,0,1,0,1,Tagalog,,
143104,FALSE,10.6022795,122.9183934,11,2,5,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
201870,TRUE,10.61305916,122.96607467,18,3,7,0,0,0,3,1,0,0,0,0,2,Hiligaynon,,
202225,TRUE,10.61305916,122.96607467,18,3,7,0,0,0,3,1,0,0,0,0,2,Hiligaynon,,
202595,TRUE,10.61305916,122.96607467,18,3,7,0,0,0,3,1,0,0,0,0,2,Hiligaynon,,
25919,TRUE,10.6211448,123.063413,21,7,6,1,0,0,0,0,0,0,3,0,1,Waray,,
26143,TRUE,10.6211448,123.063413,21,7,6,1,0,0,0,0,0,0,3,0,1,Waray,,
83798,TRUE,10.6211448,123.063413,21,7,6,1,0,0,0,0,0,0,3,0,1,Waray,,
143244,TRUE,10.62124564,122.96868312,8,0,4,3,0,0,0,0,0,0,0,0,0,Tagalog,,
202068,TRUE,10.62124564,122.96868312,8,0,4,3,0,0,0,0,0,0,0,0,0,Tagalog,,
202450,TRUE,10.62124564,122.96868312,8,0,4,3,0,0,0,0,0,0,0,0,0,Tagalog,,
83241,TRUE,10.6788944,122.9621385,19,1,11,5,0,0,0,0,0,0,0,0,1,Tagalog,Tagalog,Tagalog
83454,TRUE,10.6788944,122.9621385,19,1,11,5,0,0,0,0,0,0,0,0,1,Tagalog,Tagalog,Tagalog
83658,TRUE,10.6788944,122.9621385,19,1,11,5,0,0,0,0,0,0,0,0,1,Tagalog,Tagalog,Tagalog
25303,TRUE,10.6794497,124.8011694,4,0,0,0,0,0,4,0,0,0,0,0,0,Hiligaynon,Hiligaynon,
25324,TRUE,10.6794497,124.8011694,4,0,0,0,0,0,4,0,0,0,0,0,0,Hiligaynon,Hiligaynon,
84367,TRUE,10.6794497,124.8011694,4,0,0,0,0,0,4,0,0,0,0,0,0,Hiligaynon,Hiligaynon,
83822,TRUE,10.6795558,123.0704306,5,1,0,0,0,0,0,0,0,0,3,0,0,Waray,,
83826,TRUE,10.6795558,123.0704306,4,0,0,0,0,0,0,0,0,0,3,0,0,Waray,,
83809,FALSE,10.6852723,123.0702085,13,2,4,2,0,0,0,0,0,0,3,0,0,Waray,,
200976,TRUE,10.69819112,122.97730564,4,0,0,0,0,0,0,4,0,0,0,0,0,Ilocano,Ilocano,
201058,TRUE,10.69819112,122.97730564,4,0,0,0,0,0,0,4,0,0,0,0,0,Ilocano,Ilocano,
201145,TRUE,10.69819112,122.97730564,4,0,0,0,0,0,0,4,0,0,0,0,0,Ilocano,Ilocano,
142301,FALSE,10.70233623,122.54128605,5,1,0,0,0,0,0,0,0,0,3,0,0,Waray,,
84043,TRUE,10.7171443,123.8194736,9,1,1,0,0,0,0,0,0,0,3,0,0,Waray,,
84046,TRUE,10.7171443,123.8194736,8,1,0,0,0,0,0,0,0,0,3,0,0,Waray,,
84265,TRUE,10.7171443,123.8194736,9,1,1,0,0,0,0,0,0,0,3,0,0,Waray,,
84268,TRUE,10.7171443,123.8194736,8,1,0,0,0,0,0,0,0,0,3,0,0,Waray,,
24798,FALSE,10.7654737,122.5342384,11,1,2,6,0,0,0,0,0,0,1,0,0,Tagalog,Tagalog,Tagalog
24829,FALSE,10.7684222,122.5787922,12,3,4,0,0,0,3,0,0,0,0,0,0,Hiligaynon,,
25091,TRUE,10.8382504,123.5037263,19,5,5,0,0,0,0,0,0,0,3,0,0,Waray,,
25203,TRUE,10.8382504,123.5037263,19,5,5,0,0,0,0,0,0,0,3,0,0,Waray,,
82304,TRUE,10.8382504,123.5037263,19,5,5,0,0,0,0,0,0,0,3,0,0,Waray,,
82420,TRUE,10.8382504,123.5037263,19,5,5,0,0,0,0,0,0,0,3,0,0,Waray,,
24396,TRUE,10.9875854,124.9725882,10,2,3,3,0,0,0,0,0,0,0,0,0,Tagalog,,
24510,TRUE,10.9875854,124.9725882,10,2,3,3,0,0,0,0,0,0,0,0,0,Tagalog,,
82817,TRUE,10.9875854,124.9725882,10,2,3,3,0,0,0,0,0,0,0,0,0,Tagalog,,
23361,FALSE,10.99858125,122.63538625,19,4,10,3,0,0,0,0,0,0,0,0,2,Tagalog,,
140166,FALSE,11.00615,122.62481,10,1,2,0,0,0,0,0,0,0,3,0,0,Waray,,
139943,TRUE,11.00705,122.62535,16,1,11,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
139947,TRUE,11.00705,122.62535,15,2,9,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
141069,TRUE,11.00705,122.62535,16,1,11,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
141073,TRUE,11.00705,122.62535,15,2,9,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
141375,TRUE,11.00705,122.62535,16,1,11,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
141380,TRUE,11.00705,122.62535,15,2,9,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
141488,TRUE,11.00705,122.62535,16,1,11,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
141493,TRUE,11.00705,122.62535,15,2,9,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
199541,TRUE,11.00705,122.62535,16,1,11,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
199545,TRUE,11.00705,122.62535,15,2,9,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
24597,TRUE,11.0411868,125.7169854,7,0,3,3,0,0,1,0,0,0,0,0,0,Tagalog,,
81800,TRUE,11.0411868,125.7169854,7,0,3,3,0,0,1,0,0,0,0,0,0,Tagalog,,
82867,TRUE,11.0411868,125.7169854,7,0,3,3,0,0,1,0,0,0,0,0,0,Tagalog,,
140914,TRUE,11.0411868,125.7169854,7,0,3,3,0,0,1,0,0,0,0,0,0,Tagalog,,
142145,TRUE,11.0411868,125.7169854,7,0,3,3,0,0,1,0,0,0,0,0,0,Tagalog,,
24595,TRUE,11.0411936,125.7168924,11,1,2,3,0,0,0,0,0,0,0,0,1,Tagalog,,
81798,TRUE,11.0411936,125.7168924,11,1,2,3,0,0,0,0,0,0,0,0,1,Tagalog,,
82865,TRUE,11.0411936,125.7168924,11,1,2,3,0,0,0,0,0,0,0,0,1,Tagalog,,
140912,TRUE,11.0411936,125.7168924,11,1,2,3,0,0,0,0,0,0,0,0,1,Tagalog,,
142143,TRUE,11.0411936,125.7168924,11,1,2,3,0,0,0,0,0,0,0,0,1,Tagalog,,
23860,TRUE,11.0522621,124.0105061,19,3,4,3,1,0,0,0,0,0,0,0,3,Tagalog,,
24050,TRUE,11.0522621,124.0105061,19,3,4,3,1,0,0,0,0,0,0,0,3,Tagalog,,
81127,TRUE,11.0522621,124.0105061,19,3,4,3,1,0,0,0,0,0,0,0,3,Tagalog,,
81315,TRUE,11.0522621,124.0105061,19,3,4,3,1,0,0,0,0,0,0,0,3,Tagalog,,
23322,TRUE,11.10486035,122.04413527,9,0,4,3,0,0,0,0,0,0,0,0,0,Tagalog,,
80762,TRUE,11.10486035,122.04413527,9,0,4,3,0,0,0,0,0,0,0,0,0,Tagalog,,
139920,TRUE,11.10486035,122.04413527,9,0,4,3,0,0,0,0,0,0,0,0,0,Tagalog,,
199397,TRUE,11.10486035,122.04413527,9,0,4,3,0,0,0,0,0,0,0,0,0,Tagalog,,
139911,TRUE,11.10491013,122.0438485,16,4,4,0,0,0,0,0,0,0,4,0,0,Waray,Waray,
140067,TRUE,11.10491013,122.0438485,16,4,4,0,0,0,0,0,0,0,4,0,0,Waray,Waray,
199390,TRUE,11.10491013,122.0438485,16,4,4,0,0,0,0,0,0,0,4,0,0,Waray,Waray,
199773,TRUE,11.1692005,123.8035974,12,2,4,3,0,0,1,0,0,0,0,0,1,Tagalog,,
199810,TRUE,11.1692005,123.8035974,12,2,4,3,0,0,1,0,0,0,0,0,1,Tagalog,,
199838,TRUE,11.1692005,123.8035974,12,2,4,3,0,0,1,0,0,0,0,0,1,Tagalog,,
139527,TRUE,11.1808509,124.9973513,10,2,3,3,0,0,0,0,0,0,0,0,0,Tagalog,,
139629,TRUE,11.1808509,124.9973513,10,2,3,3,0,0,0,0,0,0,0,0,0,Tagalog,,
140674,TRUE,11.1808509,124.9973513,10,2,3,3,0,0,0,0,0,0,0,0,0,Tagalog,,
140780,TRUE,11.1808509,124.9973513,10,2,3,3,0,0,0,0,0,0,0,0,0,Tagalog,,
140865,TRUE,11.1808509,124.9973513,10,2,3,3,0,0,0,0,0,0,0,0,0,Tagalog,,
23283,TRUE,11.1843763,123.9449143,10,1,5,0,0,3,0,0,0,0,0,0,0,Cebuano,,
23908,TRUE,11.1843763,123.9449143,10,1,5,0,0,3,0,0,0,0,0,0,0,Cebuano,,
24098,TRUE,11.1843763,123.9449143,10,1,5,0,0,3,0,0,0,0,0,0,0,Cebuano,,
81175,TRUE,11.1843763,123.9449143,10,1,5,0,0,3,0,0,0,0,0,0,0,Cebuano,,
81363,TRUE,11.1843763,123.9449143,10,1,5,0,0,3,0,0,0,0,0,0,0,Cebuano,,
139313,TRUE,11.1997621,124.7821353,13,1,8,3,0,0,0,0,0,0,0,0,0,Tagalog,,
139426,TRUE,11.1997621,124.7821353,13,1,8,3,0,0,0,0,0,0,0,0,0,Tagalog,,
139518,TRUE,11.1997621,124.7821353,13,1,8,3,0,0,0,0,0,0,0,0,0,Tagalog,,
140532,TRUE,11.1997621,124.7821353,13,1,8,3,0,0,0,0,0,0,0,0,0,Tagalog,,
140591,TRUE,11.1997621,124.7821353,13,1,8,3,0,0,0,0,0,0,0,0,0,Tagalog,,
199217,TRUE,11.1997621,124.7821353,13,1,8,3,0,0,0,0,0,0,0,0,0,Tagalog,,
199999,TRUE,11.1997621,124.7821353,13,1,8,3,0,0,0,0,0,0,0,0,0,Tagalog,,
23063,TRUE,11.3408412,122.6691892,12,4,2,3,0,0,0,0,0,0,0,0,2,Tagalog,,
79984,TRUE,11.3408412,122.6691892,12,4,2,3,0,0,0,0,0,0,0,0,2,Tagalog,,
20761,TRUE,11.4074612,122.5104589,13,1,6,3,0,0,0,0,0,0,0,0,1,Tagalog,,
22445,TRUE,11.4074612,122.5104589,13,1,6,3,0,0,0,0,0,0,0,0,1,Tagalog,,
22747,TRUE,11.4074612,122.5104589,13,1,6,3,0,0,0,0,0,0,0,0,1,Tagalog,,
79417,TRUE,11.4074612,122.5104589,13,1,6,3,0,0,0,0,0,0,0,0,1,Tagalog,,
79673,TRUE,11.4074612,122.5104589,13,1,6,3,0,0,0,0,0,0,0,0,1,Tagalog,,
23124,TRUE,11.4092729,122.5080071,10,1,6,3,0,0,0,0,0,0,0,0,0,Tagalog,,
80045,TRUE,11.4092729,122.5080071,10,1,6,3,0,0,0,0,0,0,0,0,0,Tagalog,,
20707,TRUE,11.49677753,122.59951782,11,2,5,3,0,0,0,0,0,0,0,0,0,Tagalog,,
20910,TRUE,11.49677753,122.59951782,11,2,5,3,0,0,0,0,0,0,0,0,0,Tagalog,,
138273,FALSE,11.5967637,122.749361,4,1,0,3,0,0,0,0,0,0,0,0,0,Tagalog,,
78602,FALSE,11.60205078,122.74091339,7,2,1,0,0,0,0,0,0,0,3,0,0,Waray,,
196580,TRUE,11.6439632,122.307865,9,0,4,3,0,0,0,0,0,0,0,0,1,Tagalog,,
197158,TRUE,11.6439632,122.307865,9,0,4,3,0,0,0,0,0,0,0,0,1,Tagalog,,
198000,TRUE,11.6439632,122.307865,9,0,4,3,0,0,0,0,0,0,0,0,1,Tagalog,,
198016,TRUE,11.6439632,122.307865,9,0,4,3,0,0,0,0,0,0,0,0,1,Tagalog,,
198105,TRUE,11.6439632,122.307865,9,0,4,3,0,0,0,0,0,0,0,0,1,Tagalog,,
19472,TRUE,11.6668313,122.315057,9,2,1,0,0,0,3,1,1,0,1,0,0,Hiligaynon,,
20642,TRUE,11.6668313,122.315057,9,2,1,0,0,0,3,1,1,0,1,0,0,Hiligaynon,,
20735,TRUE,11.6668313,122.315057,9,2,1,0,0,0,3,1,1,0,1,0,0,Hiligaynon,,
77144,TRUE,11.6668313,122.315057,9,2,1,0,0,0,3,1,1,0,1,0,0,Hiligaynon,,
137688,TRUE,11.6668313,122.315057,9,2,1,0,0,0,3,1,1,0,1,0,0,Hiligaynon,,
138011,TRUE,11.70299488,122.36838212,18,4,10,3,0,0,0,0,0,0,0,0,1,Tagalog,,
197759,TRUE,11.70299488,122.36838212,18,4,10,3,0,0,0,0,0,0,0,0,1,Tagalog,,
77390,TRUE,11.7159761,122.3539847,13,2,3,0,0,0,1,0,0,0,3,0,1,Waray,,
77901,TRUE,11.7159761,122.3539847,13,2,3,0,0,0,1,0,0,0,3,0,1,Waray,,
138314,TRUE,11.78051994,124.88738583,15,12,0,0,0,0,0,0,0,0,3,0,0,Waray,,
138399,TRUE,11.78051994,124.88738583,15,12,0,0,0,0,0,0,0,0,3,0,0,Waray,,
197895,TRUE,11.78052069,124.88739731,13,3,5,3,0,0,0,0,0,0,0,0,2,Tagalog,,
197937,TRUE,11.78052069,124.88739731,13,3,5,3,0,0,0,0,0,0,0,0,2,Tagalog,,
20253,TRUE,11.783581,124.891194,14,1,6,3,0,0,0,0,0,0,0,0,2,Tagalog,,
20502,TRUE,11.783581,124.891194,14,1,6,3,0,0,0,0,0,0,0,0,2,Tagalog,,
76514,TRUE,11.81049823,122.17762153,17,2,10,0,0,0,0,0,0,0,3,0,0,Waray,,
77264,TRUE,11.81049823,122.17762153,17,2,10,0,0,0,0,0,0,0,3,0,0,Waray,,
136249,TRUE,11.8105779,122.1782763,5,0,1,3,0,0,0,0,0,0,0,0,0,Tagalog,,
137930,TRUE,11.8105779,122.1782763,5,0,1,3,0,0,0,0,0,0,0,0,0,Tagalog,,
134960,TRUE,11.95264451,121.93316155,17,1,6,3,0,0,0,0,0,0,1,0,2,Tagalog,,
135324,TRUE,11.95264451,121.93316155,17,1,6,3,0,0,0,0,0,0,1,0,2,Tagalog,,
135694,TRUE,11.95264451,121.93316155,17,1,6,3,0,0,0,0,0,0,1,0,2,Tagalog,,
136146,TRUE,11.95264451,121.93316155,17,1,6,3,0,0,0,0,0,0,1,0,2,Tagalog,,
134383,TRUE,12.425158,125.04419,18,12,0,0,0,0,0,0,3,0,0,0,0,Kapampangan,,
134517,TRUE,12.425158,125.04419,18,12,0,0,0,0,0,0,3,0,0,0,0,Kapampangan,,
194355,TRUE,12.425158,125.04419,16,4,4,0,0,0,0,0,0,0,3,0,1,Waray,,
194452,TRUE,12.425158,125.04419,16,4,4,0,0,0,0,0,0,0,3,0,1,Waray,,
194539,TRUE,12.425158,125.04419,16,4,4,0,0,0,0,0,0,0,3,0,1,Waray,,
74718,TRUE,12.6654296,123.9252433,12,2,5,3,0,0,0,0,1,0,0,0,0,Tagalog,,
74753,TRUE,12.6654296,123.9252433,12,2,5,3,0,0,0,0,1,0,0,0,0,Tagalog,,
74782,TRUE,12.6654296,123.9252433,12,2,5,3,0,0,0,0,1,0,0,0,0,Tagalog,,
74853,TRUE,12.6654296,123.9252433,12,2,5,3,0,0,0,0,1,0,0,0,0,Tagalog,,
74886,TRUE,12.6654296,123.9252433,12,2,5,3,0,0,0,0,1,0,0,0,0,Tagalog,,
74917,TRUE,12.6654296,123.9252433,12,2,5,3,0,0,0,0,1,0,0,0,0,Tagalog,,
74944,TRUE,12.6654296,123.9252433,12,2,5,3,0,0,0,0,1,0,0,0,0,Tagalog,,
74714,TRUE,12.6654297,123.9252435,18,2,9,3,0,0,1,0,0,0,0,0,1,Tagalog,,
74748,TRUE,12.6654297,123.9252435,18,2,9,3,0,0,1,0,0,0,0,0,1,Tagalog,,
74777,TRUE,12.6654297,123.9252435,18,2,9,3,0,0,1,0,0,0,0,0,1,Tagalog,,
74849,TRUE,12.6654297,123.9252435,18,2,9,3,0,0,1,0,0,0,0,0,1,Tagalog,,
74881,TRUE,12.6654297,123.9252435,18,2,9,3,0,0,1,0,0,0,0,0,1,Tagalog,,
74912,TRUE,12.6654297,123.9252435,18,2,9,3,0,0,1,0,0,0,0,0,1,Tagalog,,
74939,TRUE,12.6654297,123.9252435,18,2,9,3,0,0,1,0,0,0,0,0,1,Tagalog,,
16969,TRUE,12.7486654,121.4893298,12,1,4,3,0,0,0,0,0,0,1,0,0,Tagalog,,
17019,TRUE,12.7486654,121.4893298,12,1,4,3,0,0,0,0,0,0,1,0,0,Tagalog,,
74662,TRUE,12.7486654,121.4893298,12,1,4,3,0,0,0,0,0,0,1,0,0,Tagalog,,
74155,TRUE,13.04457892,121.47462229,10,1,6,3,0,0,0,0,0,0,0,0,0,Tagalog,,
74310,TRUE,13.04457892,121.47462229,10,1,6,3,0,0,0,0,0,0,0,0,0,Tagalog,,
74352,FALSE,13.0656298,123.7074462,13,2,3,0,0,0,0,0,0,0,3,0,2,Waray,,
133680,TRUE,13.1420142,123.7440415,16,6,2,0,0,0,0,0,1,0,3,0,2,Waray,,
133787,TRUE,13.1420142,123.7440415,16,6,2,0,0,0,0,0,1,0,3,0,2,Waray,,
15991,TRUE,13.143255,123.727173,21,3,11,3,0,0,0,1,0,0,1,0,0,Tagalog,,
16619,TRUE,13.143255,123.727173,21,3,11,3,0,0,0,1,0,0,1,0,0,Tagalog,,
16720,TRUE,13.143255,123.727173,21,3,11,3,0,0,0,1,0,0,1,0,0,Tagalog,,
73653,FALSE,13.152336,123.7496333,8,3,1,0,0,0,0,0,0,0,3,0,0,Waray,,
73752,FALSE,13.1523375,123.7496349,6,0,1,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
193434,FALSE,13.2336848,123.7710095,6,1,2,3,0,0,0,0,0,0,0,0,0,Tagalog,,
73117,TRUE,13.27404892,121.23987648,12,1,5,3,0,0,0,0,0,0,0,0,1,Tagalog,,
73170,TRUE,13.27404892,121.23987648,12,1,5,3,0,0,0,0,0,0,0,0,1,Tagalog,,
192869,TRUE,13.3549031,123.7305769,18,2,6,0,0,0,0,0,0,0,3,0,2,Waray,,
192958,TRUE,13.3549031,123.7305769,10,1,3,0,0,0,0,0,0,0,3,0,2,Waray,,
133186,FALSE,13.3553527,123.3656383,18,3,8,0,3,0,0,1,0,0,0,0,1,Bikol,,
132455,TRUE,13.3583015,123.3648801,8,0,5,3,0,0,0,0,0,0,0,0,0,Tagalog,,
132675,TRUE,13.3583015,123.3648801,8,0,5,3,0,0,0,0,0,0,0,0,0,Tagalog,,
15391,TRUE,13.358433,123.7292035,16,3,8,3,0,0,0,0,0,0,0,0,0,Tagalog,,
15709,TRUE,13.358433,123.7292035,16,3,8,3,0,0,0,0,0,0,0,0,0,Tagalog,,
14743,TRUE,13.3670142,123.3704324,17,8,2,0,0,0,0,0,0,4,0,0,0,Pangasinense,Pangasinense,
14958,TRUE,13.3670142,123.3704324,17,8,2,0,0,0,0,0,0,4,0,0,0,Pangasinense,Pangasinense,
192349,TRUE,13.3900519,123.373509,13,3,6,3,0,0,0,0,0,0,0,0,0,Tagalog,,
192672,TRUE,13.3900519,123.373509,13,3,6,3,0,0,0,0,0,0,0,0,0,Tagalog,,
192317,TRUE,13.3901372,123.3732074,15,3,7,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
192639,TRUE,13.3901372,123.3732074,15,3,7,4,0,0,0,0,0,0,0,0,0,Tagalog,Tagalog,
72514,TRUE,13.3941769,121.8231903,18,4,7,4,0,0,0,0,0,0,0,0,2,Tagalog,Tagalog,
72564,TRUE,13.3941769,121.8231903,18,4,7,4,0,0,0,0,0,0,0,0,2,Tagalog,Tagalog,
72712,TRUE,13.4033857,123.3664773,13,3,1,0,0,0,0,0,4,0,0,0,0,Kapampangan,Kapampangan,
72801,TRUE,13.4033857,123.3664773,13,3,1,0,0,0,0,0,4,0,0,0,0,Kapampangan,Kapampangan,
72912,TRUE,13.4033857,123.3664773,13,3,1,0,0,0,0,0,4,0,0,0,0,Kapampangan,Kapampangan,
132145,FALSE,13.4056637,121.1713051,17,4,5,4,0,0,0,0,0,0,1,0,0,Tagalog,Tagalog,
131866,TRUE,13.410498,121.1756323,11,0,5,4,0,0,0,0,0,0,0,0,1,Tagalog,Tagalog,
191451,TRUE,13.410498,121.1756323,11,0,5,4,0,0,0,0,0,0,0,0,1,Tagalog,Tagalog,
191661,TRUE,13.410498,121.1756323,11,0,5,4,0,0,0,0,0,0,0,0,1,Tagalog,Tagalog,
15432,TRUE,13.41935525,123.43194215,19,11,3,0,0,0,0,0,0,0,3,0,1,Waray,,
15750,TRUE,13.41935525,123.43194215,19,11,3,0,0,0,0,0,0,0,3,0,1,Waray,,
15265,TRUE,13.41936636,123.41583259,3,0,0,0,0,0,3,0,0,0,0,0,0,Hiligaynon,,
