"latitude","longitude","TagalogWordCount"
"""18.5207561""","""121.3027516""",6
"""18.5207561""","""121.3027516""",11
"""18.524898""","""121.2937662""",7
"""18.524898""","""121.2937662""",6
"""18.524898""","""121.2937662""",10
"""18.5045192""","""121.3274176""",3
"""18.5045192""","""121.3274176""",4
"""18.5128608""","""121.3150922""",8
"""18.4637188""","""121.3409177""",6
"""18.5207561""","""121.3027516""",3
"""18.5207561""","""121.3027516""",6
"""18.5207561""","""121.3027516""",11
"""18.524898""","""121.2937662""",7
"""18.524898""","""121.2937662""",6
"""18.524898""","""121.2937662""",10
"""18.5045192""","""121.3274176""",3
"""18.5045192""","""121.3274176""",4
"""18.40632956""","""121.5186191""",4
"""18.40611599""","""121.51854928""",3
"""18.5045192""","""121.3274176""",3
"""18.5045192""","""121.3274176""",4
"""18.40632956""","""121.5186191""",4
"""18.40611599""","""121.51854928""",3
"""18.50321564""","""122.14821568""",3
"""18.50321564""","""122.14821568""",3
"""18.50321564""","""122.14821568""",3
"""18.5150522""","""122.2083518""",4
"""18.51520807""","""122.20877983""",3
"""18.51527228""","""122.20806568""",5
"""18.57986389""","""122.13768889""",3
"""18.50770797""","""122.15017198""",5
"""18.46032792""","""122.14280395""",3
"""18.49799639""","""122.15234447""",5
"""18.51826896""","""122.21631872""",10
"""18.51851177""","""122.21599396""",8
"""18.5207342""","""122.21740379""",4
"""18.52079487""","""122.21752803""",4
"""18.52076514""","""122.21751569""",3
"""18.52071102""","""122.21750335""",5
"""18.50321564""","""122.14821568""",3
"""18.50321564""","""122.14821568""",3
"""18.45417974""","""122.13799906""",3
"""18.50321564""","""122.14821568""",3
"""18.45417974""","""122.13799906""",3
"""18.45417974""","""122.13799906""",3
"""18.45417974""","""122.13799906""",3
"""18.45417974""","""122.13799906""",3
"""18.45417974""","""122.13799906""",3
"""18.45417974""","""122.13799906""",3
"""18.45417974""","""122.13799906""",3
"""18.45417974""","""122.13799906""",3
"""18.45417974""","""122.13799906""",3
"""18.45418761""","""122.13798304""",3
"""18.45417974""","""122.13799906""",3
"""18.45417974""","""122.13799906""",3
"""18.45417974""","""122.13799906""",3
"""18.5150522""","""122.2083518""",4
"""18.51520807""","""122.20877983""",3
